Algoritmo,Funcao_Custo,Funcao_Heuristica,Custo_Caminho,Nos_Gerados,Nos_Visitados,Caminho_Encontrado,Farmacias
Busca de Custo Uniforme,custo_c1,N/A,370,1741,1710,"[(16, 30), (17, 30), (18, 30), (19, 30), (20, 30), (21, 30), (22, 30), (23, 30), (24, 30), (25, 30), (26, 30), (27, 30), (28, 30), (28, 29), (28, 28), (28, 27), (28, 26), (28, 25), (28, 24), (28, 23), (28, 22), (28, 21), (28, 20), (28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (28, 8), (28, 7), (28, 6), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,370,822,754,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 5), (22, 5), (23, 5), (24, 5), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,370,160,63,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 5), (22, 5), (23, 5), (24, 5), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,430,1740,1708,"[(16, 30), (17, 30), (18, 30), (19, 30), (20, 30), (21, 30), (22, 30), (23, 30), (24, 30), (25, 30), (26, 30), (27, 30), (28, 30), (28, 29), (28, 28), (28, 27), (28, 26), (28, 25), (28, 24), (28, 23), (28, 22), (28, 21), (28, 20), (28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (28, 8), (28, 7), (28, 6), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,430,871,743,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 5), (22, 5), (23, 5), (24, 5), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,430,264,134,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 5), (22, 5), (23, 5), (24, 5), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,400,1734,1697,"[(16, 30), (17, 30), (18, 30), (19, 30), (20, 30), (21, 30), (22, 30), (23, 30), (24, 30), (25, 30), (26, 30), (27, 30), (28, 30), (28, 29), (28, 28), (28, 27), (28, 26), (28, 25), (28, 24), (28, 23), (28, 22), (28, 21), (28, 20), (28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (28, 8), (28, 7), (28, 6), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,400,872,760,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 5), (22, 5), (23, 5), (24, 5), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,410,727,502,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (21, 10), (21, 9), (22, 9), (23, 9), (24, 9), (25, 9), (26, 9), (27, 9), (28, 9), (28, 8), (28, 7), (28, 6), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,370,1714,1676,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (16, 20), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (18, 5), (19, 5), (20, 5), (21, 5), (22, 5), (23, 5), (24, 5), (25, 5), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,334,598,451,"[(16, 30), (16, 29), (16, 28), (17, 28), (17, 27), (17, 26), (17, 25), (17, 24), (17, 23), (17, 22), (18, 22), (18, 21), (19, 21), (19, 20), (19, 19), (19, 18), (19, 17), (19, 16), (19, 15), (19, 14), (19, 13), (20, 13), (20, 12), (21, 12), (22, 12), (23, 12), (24, 12), (25, 12), (25, 11), (25, 10), (25, 9), (25, 8), (25, 7), (26, 7), (26, 6), (27, 6), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,315,111,38,"[(16, 30), (16, 29), (16, 28), (16, 27), (16, 26), (16, 25), (17, 25), (17, 24), (18, 24), (18, 23), (19, 23), (19, 22), (20, 22), (20, 21), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (22, 15), (22, 14), (23, 14), (23, 13), (24, 13), (24, 12), (24, 11), (24, 10), (24, 9), (24, 8), (24, 7), (25, 7), (25, 6), (26, 6), (26, 5), (27, 5), (28, 5)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c1,N/A,90,322,272,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_euclidiana,90,61,41,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c1,heuristica_manhattan,90,32,12,"[(4, 9), (4, 8), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,125,385,335,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,135,138,95,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7)]",resultados_experimento_2.csv
